planeta,recurso,turno,quantidade
Arrakis,Comida,0,10000
Arrakis,Madeira,0,1000
Arrakis,Pedra,0,30000
Arrakis,Minerio,0,100000
Arrakis,Chip,0,5000
Arrakis,Nave,0,2000
Arrakis,Arma,0,10000
Arrakis,Gerador,0,28
Krypton,Comida,0,200000
Krypton,Madeira,0,50000
Krypton,Pedra,0,100000
Krypton,Minerio,0,150000
Krypton,Chip,0,500000
Krypton,Nave,0,300000
Krypton,Arma,0,200000
Krypton,Gerador,0,50
Pandora,Comida,0,80000
Pandora,Madeira,0,70000
Pandora,Pedra,0,20000
Pandora,Minerio,0,15000
Pandora,Chip,0,5000
Pandora,Nave,0,3000
Pandora,Arma,0,8000
Pandora,Gerador,0,20
Tatooine,Comida,0,5000
Tatooine,Madeira,0,50
Tatooine,Pedra,0,25000
Tatooine,Minerio,0,20000
Tatooine,Chip,0,2000
Tatooine,Nave,0,1000
Tatooine,Arma,0,5000
Tatooine,Gerador,0,8
Terra,Comida,0,250000
Terra,Madeira,0,150000
Terra,Pedra,0,100000
Terra,Minerio,0,120000
Terra,Chip,0,100000
Terra,Nave,0,50000
Terra,Arma,0,60000
Terra,Gerador,0,10
Trantor,Comida,0,300000
Trantor,Madeira,0,80000
Trantor,Pedra,0,100000
Trantor,Minerio,0,200000
Trantor,Chip,0,700000
Trantor,Nave,0,500000
Trantor,Arma,0,400000
Trantor,Gerador,0,70
Viltrum,Comida,0,100000
Viltrum,Madeira,0,30000
Viltrum,Pedra,0,50000
Viltrum,Minerio,0,100000
Viltrum,Chip,0,200000
Viltrum,Nave,0,150000
Viltrum,Arma,0,250000
Viltrum,Gerador,0,20
Vulcan,Comida,0,150000
Vulcan,Madeira,0,40000
Vulcan,Pedra,0,80000
Vulcan,Minerio,0,120000
Vulcan,Chip,0,400000
Vulcan,Nave,0,300000
Vulcan,Arma,0,150000
Vulcan,Gerador,0,40
